num_run,Objective,Optimization type,Distance to Bruine Bank,AEP,LCOE,Layout,Iterations
34,LCOE,Sequential,5000,2767.928696366761,-120.14688310573568,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 7013, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15019, 15392, 15412, 15467, 15507, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 23616, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",202
34,LCOE,Joint,5000,2780.486478553583,-119.60425202297196,"[6, 511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 7012, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23001, 23021, 23041, 23061, 23076, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",202
33,LCOE,Sequential,5000,2772.1526717223965,-119.963813291987,"[511, 531, 548, 1696, 1716, 1736, 1751, 1856, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11284, 11304, 11324, 11344, 11364, 11485, 15392, 15412, 15432, 15447, 15467, 15487, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19613, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 23159, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",190
33,LCOE,Joint,5000,2780.420641316834,-119.6070841172744,"[21, 511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6977, 6992, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11229, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15487, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23096, 23116, 23136, 23467, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27444, 27880]",130
32,LCOE,Sequential,5000,2773.795409111445,-119.89276658076228,"[1, 511, 531, 548, 1696, 1716, 1736, 1751, 3000, 3928, 3948, 3968, 4024, 4044, 6937, 6957, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15447, 15525, 15545, 15575, 16511, 19499, 19519, 19537, 19557, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23136, 23466, 25673, 25693, 25713, 25733, 25753, 25766, 27284, 27300, 27320, 27880]",202
32,LCOE,Joint,5000,2780.658012229804,-119.59687385674265,"[1, 511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7032, 7052, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27284, 27300, 27320, 27880]",142
31,LCOE,Sequential,5000,2774.164239651336,-119.87682660388744,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7052, 7072, 7092, 7112, 11149, 11169, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15507, 15525, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 23765, 25673, 25693, 25713, 25733, 25753, 25766, 27284, 27300, 27320, 27880]",63
31,LCOE,Joint,5000,2777.63146026532,-119.72718853624394,"[511, 531, 548, 1696, 1716, 1736, 1751, 1770, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15507, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 23159, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",158
30,LCOE,Sequential,5000,2774.308595743673,-119.87058903165892,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11244, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15507, 15525, 15545, 15575, 19499, 19519, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27340, 27880]",138
30,LCOE,Joint,5000,2784.109844142577,-119.44859367781396,"[3, 511, 531, 548, 1696, 1716, 1736, 1751, 1856, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15467, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 23311, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",202
29,LCOE,Sequential,5000,2777.330365078175,-119.74016836777282,"[0, 511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11244, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23152, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",127
29,LCOE,Joint,5000,2774.035320140244,-119.88239771603769,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15467, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 23767, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",152
28,LCOE,Sequential,5000,2779.06191027524,-119.66556207250956,"[0, 511, 531, 548, 1696, 1716, 1736, 1751, 1856, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7032, 7072, 7092, 7112, 11149, 11169, 11189, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15447, 15487, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 22692, 23021, 23041, 23061, 23076, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",202
28,LCOE,Joint,5000,2770.304209833095,-120.04385812467306,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15487, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",68
27,LCOE,Sequential,5000,2767.8724872785774,-120.1493230110342,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11244, 11284, 11304, 11324, 11344, 11364, 13086, 15392, 15412, 15432, 15447, 15467, 15487, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 23765, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",193
27,LCOE,Joint,5000,2777.84986400426,-119.71777518890364,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15447, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23116, 23136, 23620, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27340, 27880]",202
