num_run,Objective,Optimization type,AEP,LCOE,Layout,Iterations
42,LCOE,Sequential,2844.2624839591913,-116.1095470859821,"[75, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 5069, 5129, 5149, 5164, 8498, 8518, 8534, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12754, 12789, 12849, 12889, 12909, 14179, 15030, 17997, 18017, 18046, 18141, 18181, 18241, 18261, 21503, 22985, 23258, 23278, 23298, 23318, 23333, 23353, 23393, 23431, 23461, 27773, 27851, 27887, 27907, 27935, 30234, 31283, 31295, 31315, 31335, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 36154]",202
42,LCOE,Joint,2866.8324290397504,-115.19544200104102,"[117, 937, 957, 2639, 2659, 2675, 2695, 2715, 5069, 5089, 5129, 5149, 5164, 8498, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12849, 12889, 12909, 17997, 18017, 18046, 18086, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23411, 23461, 27773, 27811, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",201
41,AEP,Sequential,2863.7560717598353,-115.31918939004096,"[114, 937, 957, 977, 2639, 2675, 2715, 2732, 5069, 5089, 5109, 5129, 5164, 6453, 8498, 8518, 8534, 8574, 8614, 8650, 8670, 12679, 12699, 12754, 12774, 12809, 12849, 12869, 12889, 17997, 18017, 18046, 18126, 18161, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23333, 23353, 23393, 23411, 23431, 23461, 27773, 27811, 27851, 27887, 27927, 27935, 31280, 31295, 31315, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
41,AEP,Joint,2874.726886840159,-114.87909697367873,"[70, 937, 957, 977, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 8498, 8518, 8534, 8574, 8614, 8634, 8650, 12679, 12754, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23373, 25144, 27773, 27793, 27811, 27831, 27851, 27887, 27907, 27927, 27935, 31295, 31335, 31370, 31888, 33947, 33967, 33987, 34007, 34027, 34040, 35558, 35574, 35594, 36154]",202
41,LCOE,Sequential,2862.4309787719985,-115.37257361147965,"[62, 937, 957, 977, 2639, 2659, 2695, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8554, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12789, 12849, 12869, 12889, 12909, 17997, 18017, 18106, 18141, 18161, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23300, 23333, 23431, 27773, 27793, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31335, 31390, 33112, 33947, 33967, 33987, 34007, 34027, 35574, 35594, 36154]",142
41,LCOE,Joint,2874.1203731920937,-114.90333943089864,"[169, 937, 957, 977, 2639, 2659, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8634, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23333, 23353, 23393, 23431, 23461, 27773, 27793, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
40,AEP,Sequential,2868.22349533161,-115.13957309940056,"[8, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 4464, 5049, 5069, 5109, 5149, 8498, 8534, 8574, 8594, 8614, 8634, 8670, 12679, 12699, 12734, 12774, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18106, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23373, 23393, 23431, 23461, 27773, 27811, 27851, 27887, 27927, 27935, 29856, 31295, 31315, 31390, 31592, 33947, 33967, 34007, 34040, 35574, 35594, 35667, 36154]",177
40,AEP,Joint,2875.8747567239284,-114.833244401211,"[25, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 8498, 8534, 8574, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12774, 12849, 12909, 17997, 18017, 18046, 18126, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23431, 23461, 27773, 27811, 27851, 27887, 27907, 27927, 27935, 31295, 31315, 31335, 31350, 31390, 33947, 33967, 34007, 34027, 34040, 35574, 35594, 36154]",202
40,LCOE,Sequential,2858.7899276276244,-115.51951600732264,"[74, 631, 957, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5149, 5164, 8498, 8574, 8634, 8650, 8670, 12679, 12699, 12734, 12789, 12829, 12849, 12869, 12889, 12909, 12996, 17997, 18017, 18046, 18066, 18106, 18141, 18181, 18201, 18241, 18261, 20760, 23238, 23258, 23278, 23333, 23373, 23411, 23461, 27773, 27793, 27831, 27887, 27927, 27935, 31282, 31295, 31315, 31335, 31350, 31370, 31390, 33947, 33967, 34007, 34040, 35574, 35594, 36154]",202
40,LCOE,Joint,2870.1329698575496,-115.06297174187814,"[16, 937, 957, 977, 2639, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 8498, 8518, 8554, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18066, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23411, 23461, 27773, 27793, 27811, 27831, 27851, 27887, 27927, 27935, 31295, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",146
39,AEP,Sequential,2858.5442816575787,-115.52944305436928,"[5, 937, 957, 977, 1507, 2659, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 5802, 8554, 8594, 8614, 8650, 8670, 8712, 9268, 12679, 12719, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23353, 23373, 23393, 23431, 23461, 27773, 27793, 27831, 27927, 27935, 28677, 31295, 31315, 31335, 31350, 31390, 33967, 34007, 34027, 34040, 34445, 35574, 35594, 36154]",202
39,AEP,Joint,2851.7178023343076,-115.8059989441541,"[26, 937, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5164, 8518, 8534, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18046, 18086, 18106, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23333, 23393, 23411, 23461, 27793, 27867, 27887, 27907, 27927, 31295, 31315, 31335, 31410, 33947, 33967, 33987, 34027, 34040, 35574, 35594, 36154]",58
39,LCOE,Sequential,2854.6879135922286,-115.68551057148082,"[57, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 5958, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12789, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18106, 18161, 18201, 18241, 18261, 21371, 23238, 23258, 23278, 23298, 23333, 23393, 23411, 23461, 23922, 27773, 27811, 27867, 27887, 27935, 28502, 31026, 31295, 31315, 31390, 33947, 33967, 34007, 34027, 34040, 35574, 35594, 36154]",202
