num_run,Objective,Optimization type,Robustness,AEP,LCOE,Layout
18,LCOE,Joint,22 wind speeds,5208.146177671042,-63.40951608117693,"[79, 937, 957, 977, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23393, 23411, 23431, 23461, 27773, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31390, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,LCOE,Joint,360 wind directions,2862.445908320288,-115.37197186721474,"[79, 937, 957, 977, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23393, 23411, 23431, 23461, 27773, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31390, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,LCOE,Joint,FLORIS yaw,,-114.99059112750528,"[79, 937, 957, 977, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23393, 23411, 23431, 23461, 27773, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31390, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,LCOE,Joint,Original objective,2871.879015489308,-114.99301573116067,"[79, 937, 957, 977, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23393, 23411, 23431, 23461, 27773, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31390, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
17,AEP,Sequential,Robust objective,5019.241806329625,,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,AEP,Sequential,22 wind speeds,5195.410410817275,-63.56495496843761,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,AEP,Sequential,360 wind directions,2845.480784057265,-116.05983447734509,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,AEP,Sequential,FLORIS yaw,2854.5002788883207,,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,AEP,Sequential,Original objective,2852.375149127179,-115.77931076394587,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,AEP,Joint,Robust objective,5031.222611714421,,"[83, 937, 957, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12849, 12889, 12909, 18017, 18086, 18141, 18161, 18221, 18241, 18261, 20778, 23238, 23258, 23278, 23318, 23333, 23431, 23461, 27773, 27793, 27851, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
