num_run,Yaw optimization type,Joint/Sequential,AEP,LCOE,Layout
16,yaw_optimizer_floris,Joint,2872.266571562857,-114.98381550545676,"[38, 298, 937, 977, 1842, 2639, 2659, 2675, 2732, 3589, 5049, 5069, 5089, 5129, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18141, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23461, 27773, 27793, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31410, 33124, 33947, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
15,None,Sequential,2641.3803988022514,-125.02781839219526,"[88, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 6625, 8498, 8518, 8594, 8650, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 20247, 23238, 23258, 23278, 23298, 23461, 27773, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31276, 31295, 31335, 33000, 33947, 33987, 34007, 34027, 34040, 34819, 35574, 35594, 36154]"
15,geometric_yaw_Stanley,Sequential,2821.6764688927447,-117.03894207819799,"[88, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 6625, 8498, 8518, 8594, 8650, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 20247, 23238, 23258, 23278, 23298, 23461, 27773, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31276, 31295, 31335, 33000, 33947, 33987, 34007, 34027, 34040, 34819, 35574, 35594, 36154]"
15,geometric_yaw_Jong,Sequential,2866.873681471729,-115.6246301614728,"[88, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 6625, 8498, 8518, 8594, 8650, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 20247, 23238, 23258, 23278, 23298, 23461, 27773, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31276, 31295, 31335, 33000, 33947, 33987, 34007, 34027, 34040, 34819, 35574, 35594, 36154]"
15,yaw_optimizer_floris,Sequential,2867.4952590580733,-115.47835702122762,"[88, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 6625, 8498, 8518, 8594, 8650, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 20247, 23238, 23258, 23278, 23298, 23461, 27773, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31276, 31295, 31335, 33000, 33947, 33987, 34007, 34027, 34040, 34819, 35574, 35594, 36154]"
15,None,Joint,2624.697035298261,-125.8225327970564,"[117, 920, 937, 957, 2639, 2675, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5164, 8498, 8518, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12734, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18126, 18201, 18221, 18241, 18261, 23237, 23258, 23278, 23333, 23393, 23411, 23431, 23461, 27773, 27811, 27851, 27887, 27927, 27935, 31285, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35734, 36154]"
15,geometric_yaw_Stanley,Joint,2815.9295131025224,-117.27780374811128,"[117, 920, 937, 957, 2639, 2675, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5164, 8498, 8518, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12734, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18126, 18201, 18221, 18241, 18261, 23237, 23258, 23278, 23333, 23393, 23411, 23431, 23461, 27773, 27811, 27851, 27887, 27927, 27935, 31285, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35734, 36154]"
15,geometric_yaw_Jong,Joint,2864.6232322425303,-115.12221658735582,"[117, 920, 937, 957, 2639, 2675, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5164, 8498, 8518, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12734, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18126, 18201, 18221, 18241, 18261, 23237, 23258, 23278, 23333, 23393, 23411, 23431, 23461, 27773, 27811, 27851, 27887, 27927, 27935, 31285, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35734, 36154]"
15,yaw_optimizer_floris,Joint,2865.314466173644,-115.08733135753864,"[117, 920, 937, 957, 2639, 2675, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5164, 8498, 8518, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12734, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18126, 18201, 18221, 18241, 18261, 23237, 23258, 23278, 23333, 23393, 23411, 23431, 23461, 27773, 27811, 27851, 27887, 27927, 27935, 31285, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35734, 36154]"
14,None,Sequential,2626.5773753574663,-125.73245772407786,"[45, 937, 957, 977, 1933, 2639, 2659, 2675, 2695, 2732, 5049, 5069, 5109, 5149, 5164, 6970, 8498, 8574, 8650, 8670, 12679, 12719, 12734, 12754, 12774, 12789, 12809, 12829, 12849, 12909, 17997, 18017, 18046, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23373, 23431, 23461, 27773, 27811, 27851, 27867, 27927, 27935, 31295, 31315, 31390, 31410, 31492, 33947, 33967, 33987, 34027, 34040, 35574, 35594, 36154]"
